wellness_id,daily_sleep_hours,social_support_score,physical_activity_hours,Sleep_Quality_Score
W-101946,4.3,8,1.4,3
W-101947,4.3,8,1.3,3
W-101971,4.3,8,1.7,3
W-101988,4.3,8,1.8,3
W-101999,4.3,8,1.2,3
W-102037,4.3,8,1.1,3
W-102051,4.3,8,1.5,3
W-102127,4.3,8,0.5,3
W-102178,4.3,8,0.1,3
W-102201,4.3,8,0.3,3
W-102226,4.3,8,1.6,3
W-102241,4.3,8,0.2,3
W-102280,4.3,8,0.4,3
W-102300,4.3,8,0.6,3
W-102375,4.3,8,1.9,3
W-102421,4.3,8,0.8,3
W-102454,4.4,8,0.9,3
W-102468,4.4,8,0.6,3
W-102497,4.4,8,0.5,3
W-102505,4.4,8,1.8,3
W-102591,4.4,8,1.3,3
W-102677,4.4,8,1,3
W-102688,4.4,8,1.1,3
W-102709,4.4,8,1.4,3
W-102726,4.4,8,0.7,3
W-102785,4.4,8,0.3,3
W-102786,4.4,8,0.1,3
W-102798,4.4,8,0,3
W-102825,4.4,8,1.7,3
W-102838,4.4,8,1.5,3
W-102850,4.4,8,0.8,3
W-102894,4.4,8,1.2,3
W-102911,4.4,8,0.2,3
W-102965,4.4,8,2,3
W-102979,4.4,8,1.9,3
W-102987,4.4,8,0.4,3
W-103019,4.4,8,1.6,3
W-103077,4.5,8,0.5,3
W-103090,4.5,8,1.7,3
W-103092,4.5,8,1.1,3
W-103113,4.5,8,0,3
W-103129,4.5,8,1.9,3
W-103253,4.5,8,0.6,3
W-103256,4.5,8,1.2,3
W-103272,4.5,8,0.9,3
W-103281,4.5,8,1.5,3
W-103290,4.5,8,1.8,3
W-103300,4.5,8,1,3
W-103313,4.5,8,0.1,3
W-103367,4.5,8,0.4,3
W-103412,4.5,8,0.7,3
W-103465,4.5,8,1.3,3
W-103486,4.5,8,1.6,3
W-103528,4.5,8,0.8,3
W-103537,4.5,8,1.4,3
W-103551,4.5,8,0.2,3
W-103577,4.5,8,0.3,3
W-103666,4.5,8,2,3
W-103753,4.6,8,0.6,3
W-103767,4.6,8,1.1,3
W-103775,4.6,8,1.8,3
W-103796,4.6,8,0.5,3
W-103831,4.6,8,1.7,3
W-103851,4.6,8,1.5,3
W-103884,4.6,8,0.9,3
W-103886,4.6,8,0.3,3
W-103925,4.6,8,0.8,3
W-103927,4.6,8,0.1,3
W-103953,4.6,8,1.2,3
W-103965,4.6,8,1.6,3
W-104067,4.6,8,0.7,3
W-104074,4.6,8,0,3
W-104092,4.6,8,0.2,3
W-104117,4.6,8,2,3
W-104151,4.6,8,1.3,3
W-104192,4.6,8,1,3
W-104224,4.6,8,0.4,3
W-104230,4.6,8,1.4,3
W-104269,4.6,8,1.9,3
W-104332,4.7,8,0.8,3
W-104360,4.7,8,1.8,3
W-104376,4.7,8,0.2,3
W-104377,4.7,8,0.4,3
W-104401,4.7,8,1.3,3
W-104403,4.7,8,1.2,3
W-104430,4.7,8,0.7,3
W-104443,4.7,8,0.3,3
W-104446,4.7,8,1.7,3
W-104457,4.7,8,0.6,3
W-104502,4.7,8,1.4,3
W-104504,4.7,8,0.5,3
W-104563,4.7,8,1,3
W-104601,4.7,8,1.5,3
W-104632,4.7,8,1.9,3
W-104662,4.7,8,2,3
W-104699,4.7,8,1.6,3
W-104739,4.7,8,1.1,3
W-104872,4.7,8,0.1,3
W-104883,4.7,8,0,3
W-104898,4.7,8,0.9,3
W-104934,4.8,8,0.4,3
W-104973,4.8,8,2,3
W-105005,4.8,8,0.6,3
W-105012,4.8,8,0.5,3
W-105034,4.8,8,1.9,3
W-105053,4.8,8,1.3,3
W-105157,4.8,8,1.2,3
W-105215,4.8,8,1.1,3
W-105220,4.8,8,0.3,3
W-105222,4.8,8,1.6,3
W-105273,4.8,8,1.8,3
W-105282,4.8,8,1.5,3
W-105312,4.8,8,0.9,3
W-105328,4.8,8,1.4,3
W-105350,4.8,8,1.7,3
W-105351,4.8,8,0.1,3
W-105371,4.8,8,1,3
W-105460,4.8,8,0.2,3
W-105494,4.8,8,0.7,3
W-105508,4.8,8,0.8,3
W-105540,4.9,8,1.1,3
W-105621,4.9,8,0,3
W-105634,4.9,8,1.3,3
W-105654,4.9,8,1.5,3
W-105753,4.9,8,0.1,3
W-105772,4.9,8,0.2,3
W-105865,4.9,8,0.5,3
W-105882,4.9,8,1.9,3
W-105929,4.9,8,2,3
W-105952,4.9,8,0.4,3
W-105953,4.9,8,1.4,3
W-105983,4.9,8,1.2,3
W-106002,4.9,8,1.7,3
W-106009,4.9,8,0.3,3
W-106011,4.9,8,0.8,3
W-106017,4.9,8,1,3
W-106042,4.9,8,1.8,3
W-106065,4.9,8,0.9,3
W-106099,4.9,8,0.7,3
W-106120,4.9,8,1.6,3
W-106134,4.9,8,0.6,3
W-106160,5,8,1.8,3
W-106172,5,8,0.3,3
W-106177,5,8,0,3
W-106193,5,8,0.6,3
W-106208,5,8,1.9,3
W-106232,5,8,0.2,3
W-106250,5,8,0.9,3
W-106255,5,8,1.6,3
W-106270,5,8,1.5,3
W-106306,5,8,2,3
W-106316,5,8,1.3,3
W-106377,5,8,0.7,3
W-106417,5,8,0.5,3
W-106433,5,8,0.8,3
W-106523,5,8,1.1,3
W-106544,5,8,0.1,3
W-106611,5,8,1.7,3
W-106683,5,8,0.4,3
W-106687,5,8,1.2,3
W-106750,5,8,1,3
W-106819,5.1,8,1.1,3
W-106879,5.1,8,1.7,3
W-106901,5.1,8,0.2,3
W-106939,5.1,8,0.8,3
W-107010,5.1,8,0.5,3
W-107090,5.1,8,0.3,3
W-107114,5.1,8,1.6,3
W-107153,5.1,8,1.8,3
W-107172,5.1,8,1.3,3
W-107175,5.1,8,0.9,3
W-107176,5.1,8,0.4,3
W-107215,5.1,8,1.4,3
W-107252,5.1,8,0.6,3
W-107256,5.1,8,1,3
W-107264,5.1,8,1.9,3
W-107266,5.1,8,0.7,3
W-107326,5.1,8,1.2,3
W-107333,5.1,8,0.1,3
W-107344,5.1,8,1.5,3
W-107396,5.2,8,0.5,3
W-107466,5.2,8,0.7,3
W-107527,5.2,8,2,3
W-107533,5.2,8,1.6,3
W-107555,5.2,8,0.1,3
W-107602,5.2,8,1.4,3
W-107616,5.2,8,1.5,3
W-107666,5.2,8,1.9,3
W-107682,5.2,8,1.3,3
W-107692,5.2,8,0.3,3
W-107707,5.2,8,0.4,3
W-107787,5.2,8,1.1,3
W-107793,5.2,8,1.7,3
W-107795,5.2,8,0.2,3
W-107830,5.2,8,1.2,3
W-107839,5.2,8,1.8,3
W-107848,5.2,8,0.8,3
W-107857,5.2,8,0.6,3
W-107906,5.2,8,1,3
W-107959,5.2,8,0,3
W-107976,5.2,8,0.9,3
W-108091,5.3,8,0.4,3
W-108123,5.3,8,1,3
W-108158,5.3,8,1.5,3
W-108198,5.3,8,0.1,3
W-108206,5.3,8,0.7,3
W-108211,5.3,8,0.3,3
W-108218,5.3,8,1.7,3
W-108247,5.3,8,1.2,3
W-108273,5.3,8,0.9,3
W-108305,5.3,8,0,3
W-108330,5.3,8,1.1,3
W-108341,5.3,8,1.9,3
W-108365,5.3,8,0.8,3
W-108409,5.3,8,1.6,3
W-108499,5.3,8,1.3,3
W-108508,5.3,8,1.4,3
W-108519,5.3,8,0.2,3
W-108542,5.3,8,0.6,3
W-108554,5.3,8,2,3
W-108578,5.3,8,1.8,3
W-108623,5.3,8,0.5,3
W-108640,5.4,8,1.4,3
W-108660,5.4,8,0.4,3
W-108672,5.4,8,1.1,3
W-108689,5.4,8,0.2,3
W-108734,5.4,8,0.8,3
W-108735,5.4,8,1.5,3
W-108739,5.4,8,0.3,3
W-108804,5.4,8,1.7,3
W-108832,5.4,8,0.6,3
W-108839,5.4,8,0.9,3
W-108854,5.4,8,1,3
W-108890,5.4,8,1.3,3
W-108927,5.4,8,1.6,3
W-108961,5.4,8,1.8,3
W-109019,5.4,8,1.2,3
W-109033,5.4,8,2,3
W-109122,5.4,8,0.7,3
W-109173,5.4,8,1.9,3
W-109232,5.4,8,0.5,3
W-109246,5.4,8,0,3
W-109253,5.4,8,0.1,3
W-109262,5.5,8,0.9,3
W-109295,5.5,8,0.8,3
W-109327,5.5,8,1.4,3
W-109331,5.5,8,1.8,3
W-109339,5.5,8,1,3
W-109358,5.5,8,0,3
W-109404,5.5,8,1.1,3
W-109410,5.5,8,1.9,3
W-109477,5.5,8,0.3,3
W-109527,5.5,8,1.6,3
W-109562,5.5,8,1.7,3
W-109595,5.5,8,0.2,3
W-109620,5.5,8,1.2,3
W-109748,5.5,8,0.7,3
W-109778,5.5,8,0.4,3
W-109819,5.5,8,0.5,3
W-109836,5.5,8,2,3
W-109850,5.5,8,1.3,3
W-109851,5.5,8,0.1,3
W-109857,5.5,8,0.6,3
W-109862,5.5,8,1.5,3
W-109889,5.6,8,0.6,3
W-109916,5.6,8,0.5,3
W-109931,5.6,8,0.1,3
W-109948,5.6,8,0.7,3
W-109958,5.6,8,2,3
W-110013,5.6,8,0.9,3
W-110102,5.6,8,1.9,3
W-110180,5.6,8,0.8,3
W-110182,5.6,8,1.3,3
W-110185,5.6,8,0.2,3
W-110206,5.6,8,1.4,3
W-110247,5.6,8,1.7,3
W-110285,5.6,8,1.8,3
W-110286,5.6,8,1,3
W-110308,5.6,8,1.5,3
W-110314,5.6,8,1.6,3
W-110317,5.6,8,1.2,3
W-110365,5.6,8,1.1,3
W-110372,5.6,8,0,3
W-110453,5.6,8,0.3,3
W-110464,5.6,8,0.4,3
W-110522,5.7,8,1.7,3
W-110565,5.7,8,1.2,3
W-110640,5.7,8,0.2,3
W-110693,5.7,8,1.3,3
W-110709,5.7,8,0.5,3
W-110722,5.7,8,0.8,3
W-110724,5.7,8,0.9,3
W-110744,5.7,8,0.3,3
W-110777,5.7,8,0.7,3
W-110794,5.7,8,1.4,3
W-110820,5.7,8,0.1,3
W-110831,5.7,8,1.1,3
W-110890,5.7,8,1.9,3
W-110897,5.7,8,0.6,3
W-110959,5.7,8,1,3
W-110966,5.7,8,1.5,3
W-110991,5.7,8,1.8,3
W-111019,5.7,8,2,3
W-111026,5.7,8,0.4,3
W-111076,5.7,8,0,3
W-111099,5.7,8,1.6,3
W-111125,5.8,8,0.4,3
W-111211,5.8,8,1.8,3
W-111263,5.8,8,1.2,3
W-111301,5.8,8,0.1,3
W-111327,5.8,8,0.3,3
W-111339,5.8,8,1.4,3
W-111345,5.8,8,0.8,3
W-111426,5.8,8,1.1,3
W-111432,5.8,8,1.7,3
W-111446,5.8,8,0,3
W-111485,5.8,8,1.9,3
W-111495,5.8,8,0.7,3
W-111518,5.8,8,0.9,3
W-111524,5.8,8,0.6,3
W-111562,5.8,8,1,3
W-111584,5.8,8,1.3,3
W-111592,5.8,8,1.5,3
W-111624,5.8,8,0.5,3
W-111699,5.8,8,1.6,3
W-111733,5.8,8,0.2,3
W-111742,5.9,8,1,3
W-111774,5.9,8,0.7,3
W-111791,5.9,8,0.6,3
W-111796,5.9,8,1.3,3
W-111802,5.9,8,1.7,3
W-111874,5.9,8,1.4,3
W-111916,5.9,8,1.1,3
W-111929,5.9,8,0,3
W-111969,5.9,8,0.3,3
W-111998,5.9,8,1.9,3
W-112002,5.9,8,0.9,3
W-112004,5.9,8,1.6,3
W-112015,5.9,8,1.2,3
W-112087,5.9,8,1.8,3
W-112091,5.9,8,0.1,3
W-112133,5.9,8,2,3
W-112165,5.9,8,0.4,3
W-112230,5.9,8,1.5,3
W-112289,5.9,8,0.5,3
W-112345,5.9,8,0.8,3
W-112357,5.9,8,0.2,3
W-112441,6,8,1.5,3
W-112494,6,8,1.7,3
W-112539,6,8,0.3,3
W-112547,6,8,1.8,3
W-112574,6,8,1.4,3
W-112585,6,8,0.2,3
W-112599,6,8,0,3
W-112631,6,8,0.7,3
W-112654,6,8,1.3,3
W-112676,6,8,2,3
W-112740,6,8,0.9,3
W-112750,6,8,0.4,3
W-112765,6,8,1.9,3
W-112790,6,8,1,3
W-112826,6,8,1.1,3
W-112850,6,8,0.6,3
W-112884,6,8,0.8,3
W-112890,6,8,1.2,3
W-112909,6,8,0.5,3
W-112944,6,8,1.6,3
W-112959,6,8,0.1,3
W-113006,6.1,8,0.7,3
W-113023,6.1,8,1.1,3
W-113033,6.1,8,1.4,3
W-113042,6.1,8,1.5,3
W-113051,6.1,8,1.2,3
W-113079,6.1,8,1.7,3
W-113091,6.1,8,0.4,3
W-113117,6.1,8,0,3
W-113126,6.1,8,0.1,3
W-113154,6.1,8,0.9,3
W-113185,6.1,8,1,3
W-113206,6.1,8,0.5,3
W-113263,6.1,8,0.8,3
W-113320,6.1,8,0.6,3
W-113342,6.1,8,1.3,3
W-113364,6.1,8,1.8,3
W-113365,6.1,8,1.9,3
W-113376,6.1,8,2,3
W-113521,6.1,8,0.2,3
W-113528,6.1,8,1.6,3
W-113565,6.1,8,0.3,3
W-113612,6.2,8,1.5,3
W-113614,6.2,8,0.3,3
W-113679,6.2,8,2,3
W-113706,6.2,8,1.8,3
W-113732,6.2,8,1.2,3
W-113739,6.2,8,1.3,3
W-113830,6.2,8,1.6,3
W-113832,6.2,8,1.7,3
W-113884,6.2,8,0.7,3
W-113887,6.2,8,1.1,3
W-113902,6.2,8,0.9,3
W-113905,6.2,8,0.6,3
W-113923,6.2,8,0.5,3
W-113931,6.2,8,0.8,3
W-113951,6.2,8,0,3
W-114067,6.2,8,0.1,3
W-114079,6.2,8,0.4,3
W-114102,6.2,8,0.2,3
W-114197,6.2,8,1.9,3
W-114202,6.2,8,1,3
W-114204,6.2,8,1.4,3
W-114245,6.3,8,1.5,3
W-114247,6.3,8,1.6,3
W-114261,6.3,8,1.7,3
W-114283,6.3,8,0.9,3
W-114288,6.3,8,1.8,3
W-114316,6.3,8,0,3
W-114372,6.3,8,1.9,3
W-114404,6.3,8,0.4,3
W-114433,6.3,8,0.3,3
W-114487,6.3,8,0.5,3
W-114517,6.3,8,1,3
W-114520,6.3,8,1.1,3
W-114527,6.3,8,0.6,3
W-114574,6.3,8,1.4,3
W-114591,6.3,8,0.1,3
W-114604,6.3,8,0.8,3
W-114621,6.3,8,1.2,3
W-114715,6.3,8,1.3,3
W-114761,6.3,8,0.2,3
W-114777,6.3,8,0.7,3
W-114886,6.4,8,1.1,3
W-114893,6.4,8,0.8,3
W-114912,6.4,8,0.7,3
W-114923,6.4,8,1.9,3
W-114939,6.4,8,1,3
W-114958,6.4,8,0.9,3
W-114971,6.4,8,1.6,3
W-115024,6.4,8,0,3
W-115036,6.4,8,1.4,3
W-115038,6.4,8,0.6,3
W-115158,6.4,8,1.3,3
W-115172,6.4,8,0.2,3
W-115206,6.4,8,0.3,3
W-115260,6.4,8,1.7,3
W-115328,6.4,8,2,3
W-115372,6.4,8,1.2,3
W-115411,6.4,8,0.4,3
W-115432,6.4,8,0.1,3
W-115440,6.4,8,0.5,3
W-115443,6.4,8,1.5,3
W-115459,6.4,8,1.8,3
W-115502,6.5,8,1.5,3
W-115516,6.5,8,1.6,3
W-115558,6.5,8,0.1,3
W-115562,6.5,8,1,3
W-115593,6.5,8,1.4,3
W-115630,6.5,8,1.8,3
W-115663,6.5,8,1.7,3
W-115670,6.5,8,2,3
W-115684,6.5,8,0,3
W-115705,6.5,8,1.9,3
W-115708,6.5,8,1.1,3
W-115750,6.5,8,1.3,3
W-115870,6.5,8,0.2,3
W-115884,6.5,8,0.5,3
W-115894,6.5,8,0.3,3
W-115938,6.5,8,0.4,3
W-115956,6.5,8,0.9,3
W-116003,6.5,8,0.7,3
W-116061,6.5,8,0.6,3
W-116071,6.5,8,1.2,3
W-116080,6.5,8,0.8,3
W-116163,6.6,8,1.9,3
W-116165,6.6,8,1.2,3
W-116207,6.6,8,2,3
W-116233,6.6,8,0.9,3
W-116251,6.6,8,0.5,3
W-116271,6.6,8,1.3,3
W-116292,6.6,8,1.5,3
W-116322,6.6,8,1.1,3
W-116328,6.6,8,0.7,3
W-116400,6.6,8,0.4,3
W-116426,6.6,8,0.3,3
W-116456,6.6,8,1,3
W-116502,6.6,8,0.1,3
W-116541,6.6,8,1.4,3
W-116578,6.6,8,1.6,3
W-116608,6.6,8,0.8,3
W-116613,6.6,8,1.7,3
W-116642,6.6,8,0.2,3
W-116699,6.6,8,1.8,3
W-116703,6.6,8,0.6,3
W-116721,6.7,8,1.7,3
W-116788,6.7,8,0.3,3
W-116818,6.7,8,0,3
W-116819,6.7,8,0.7,3
W-116825,6.7,8,0.6,3
W-116828,6.7,8,0.2,3
W-116849,6.7,8,0.5,3
W-116856,6.7,8,0.8,3
W-116883,6.7,8,1.5,3
W-116922,6.7,8,0.4,3
W-116941,6.7,8,1.8,3
W-116982,6.7,8,0.9,3
W-116998,6.7,8,1.1,3
W-117013,6.7,8,1.6,3
W-117080,6.7,8,1.2,3
W-117155,6.7,8,1.4,3
W-117190,6.7,8,1.3,3
W-117261,6.7,8,2,3
W-117275,6.7,8,0.1,3
W-117277,6.7,8,1.9,3
W-117308,6.7,8,1,3
W-117339,6.8,8,1.4,3
W-117357,6.8,8,0.4,3
W-117407,6.8,8,0.7,3
W-117436,6.8,8,0.8,3
W-117448,6.8,8,1.6,3
W-117462,6.8,8,1.7,3
W-117468,6.8,8,2,3
W-117516,6.8,8,1.2,3
W-117576,6.8,8,0.1,3
W-117692,6.8,8,0.3,3
W-117726,6.8,8,1.1,3
W-117740,6.8,8,1.9,3
W-117742,6.8,8,1,3
W-117793,6.8,8,0.2,3
W-117844,6.8,8,1.5,3
W-117867,6.8,8,1.3,3
W-117871,6.8,8,0,3
W-117887,6.8,8,0.5,3
W-117919,6.8,8,0.6,3
W-117948,6.8,8,1.8,3
W-117950,6.8,8,0.9,3
W-118019,6.9,8,0.8,3
W-118022,6.9,8,0.4,3
W-118031,6.9,8,0,3
W-118125,6.9,8,1.9,3
W-118126,6.9,8,1.7,3
W-118174,6.9,8,1.8,3
W-118190,6.9,8,1.3,3
W-118241,6.9,8,1.1,3
W-118242,6.9,8,0.7,3
W-118258,6.9,8,1.6,3
W-118299,6.9,8,1,3
W-118338,6.9,8,0.6,3
W-118347,6.9,8,1.4,3
W-118349,6.9,8,1.2,3
W-118375,6.9,8,1.5,3
W-118420,6.9,8,0.5,3
W-118461,6.9,8,0.2,3
W-118502,6.9,8,0.9,3
W-118510,6.9,8,0.3,3
W-118582,6.9,8,0.1,3
W-118588,7,8,1.4,3
W-118606,7,8,1.3,3
W-118661,7,8,1.2,3
W-118693,7,8,1.1,3
W-118711,7,8,1.6,3
W-118736,7,8,1.7,3
W-118765,7,8,1.5,3
W-118851,7,8,0.5,3
W-118866,7,8,0.9,3
W-118928,7,8,1.8,3
W-118937,7,8,0.1,3
W-118950,7,8,0,3
W-118954,7,8,2,3
W-119003,7,8,0.2,3
W-119025,7,8,0.7,3
W-119045,7,8,0.6,3
W-119052,7,8,1.9,3
W-119061,7,8,0.4,3
W-119163,7,8,0.8,3
W-119164,7,8,0.3,3
W-119201,7,8,1,3
W-119214,7.1,8,1,3
W-119219,7.1,8,0.5,3
W-119229,7.1,8,0.9,3
W-119249,7.1,8,0.3,3
W-119254,7.1,8,1.8,3
W-119255,7.1,8,0.6,3
W-119272,7.1,8,1.2,3
W-119284,7.1,8,0.1,3
W-119311,7.1,8,1.6,3
W-119319,7.1,8,1.9,3
W-119370,7.1,8,0.7,3
W-119374,7.1,8,0.8,3
W-119376,7.1,8,1.1,3
W-119431,7.1,8,1.7,3
W-119478,7.1,8,1.4,3
W-119530,7.1,8,1.5,3
W-119577,7.1,8,0,3
W-119580,7.1,8,0.4,3
W-119592,7.1,8,2,3
W-119693,7.1,8,0.2,3
W-119850,7.2,8,0,3
W-119904,7.2,8,0.1,3
W-119906,7.2,8,1.3,3
W-119988,7.2,8,0.6,3
W-120015,7.2,8,1.6,3
W-120025,7.2,8,1.8,3
W-120030,7.2,8,1,3
W-120044,7.2,8,0.4,3
W-120052,7.2,8,1.4,3
W-120053,7.2,8,1.7,3
W-120109,7.2,8,0.9,3
W-120152,7.2,8,2,3
W-120206,7.2,8,0.7,3
W-120225,7.2,8,1.2,3
W-120233,7.2,8,1.1,3
W-120300,7.2,8,0.8,3
W-120314,7.2,8,0.2,3
W-120371,7.2,8,0.5,3
W-120379,7.2,8,1.5,3
W-120398,7.2,8,0.3,3
W-120411,7.2,8,1.9,3
W-120480,7.3,8,0.9,3
W-120534,7.3,8,1.9,3
W-120561,7.3,8,0,3
W-120634,7.3,8,0.4,3
W-120669,7.3,8,0.3,3
W-120674,7.3,8,1.1,3
W-120702,7.3,8,1,3
W-120716,7.3,8,2,3
W-120723,7.3,8,0.7,3
W-120763,7.3,8,0.2,3
W-120773,7.3,8,1.6,3
W-120781,7.3,8,1.2,3
W-120787,7.3,8,0.5,3
W-120812,7.3,8,1.3,3
W-120858,7.3,8,0.6,3
W-120871,7.3,8,0.1,3
W-120891,7.3,8,1.4,3
W-120911,7.3,8,0.8,3
W-121024,7.3,8,1.5,3
W-121059,7.3,8,1.7,3
W-121064,7.3,8,1.8,3
W-121129,7.4,8,0,3
W-121132,7.4,8,0.4,3
W-121147,7.4,8,1.3,3
W-121161,7.4,8,1.1,3
W-121179,7.4,8,1.9,3
W-121214,7.4,8,0.5,3
W-121239,7.4,8,0.3,3
W-121245,7.4,8,0.6,3
W-121290,7.4,8,1.7,3
W-121332,7.4,8,1.5,3
W-121340,7.4,8,1.2,3
W-121352,7.4,8,0.8,3
W-121373,7.4,8,0.9,3
W-121401,7.4,8,1.4,3
W-121422,7.4,8,2,3
W-121507,7.4,8,1.8,3
W-121594,7.4,8,1,3
W-121629,7.4,8,0.7,3
W-121631,7.4,8,0.2,3
W-121668,7.4,8,1.6,3
W-121680,7.4,8,0.1,3
W-121729,7.5,8,0.7,3
W-121738,7.5,8,1.9,3
W-121742,7.5,8,0.2,3
W-121770,7.5,8,1.6,3
W-121809,7.5,8,1.2,3
W-121829,7.5,8,1.4,3
W-121889,7.5,8,1.7,3
W-121904,7.5,8,0.9,3
W-121945,7.5,8,1.3,3
W-121948,7.5,8,1.8,3
W-121968,7.5,8,1.5,3
W-122013,7.5,8,0.6,3
W-122021,7.5,8,0.8,3
W-122024,7.5,8,2,3
W-122047,7.5,8,1,3
W-122071,7.5,8,0,3
W-122078,7.5,8,0.3,3
W-122098,7.5,8,0.4,3
W-122142,7.5,8,0.1,3
W-122158,7.5,8,0.5,3
W-122316,7.5,8,1.1,3
W-122323,7.6,8,1.2,3
W-122333,7.6,8,0.2,3
W-122421,7.6,8,1,3
W-122425,7.6,8,0.3,3
W-122428,7.6,8,0.4,3
W-122473,7.6,8,0.1,3
W-122532,7.6,8,0.8,3
W-122573,7.6,8,1.9,3
W-122622,7.6,8,0.6,3
W-122629,7.6,8,0,3
W-122678,7.6,8,2,3
W-122750,7.6,8,1.8,3
W-122765,7.6,8,0.5,3
W-122801,7.6,8,1.1,3
W-122807,7.6,8,1.7,3
W-122814,7.6,8,1.6,3
W-122846,7.6,8,0.7,3
W-122869,7.6,8,1.4,3
W-122880,7.6,8,0.9,3
W-122899,7.6,8,1.3,3
W-122933,7.6,8,1.5,3
W-123018,7.7,8,0.3,3
W-123048,7.7,8,0.4,3
W-123051,7.7,8,0.2,3
W-123057,7.7,8,2,3
W-123069,7.7,8,0,3
W-123083,7.7,8,1.3,3
W-123093,7.7,8,0.6,3
W-123117,7.7,8,1,3
W-123121,7.7,8,0.7,3
W-123136,7.7,8,1.2,3
W-123149,7.7,8,1.9,3
W-123252,7.7,8,0.5,3
W-123324,7.7,8,0.8,3
W-123361,7.7,8,1.1,3
W-123377,7.7,8,0.9,3
W-123399,7.7,8,1.5,3
W-123411,7.7,8,0.1,3
W-123456,7.7,8,1.8,3
W-123510,7.7,8,1.7,3
W-123517,7.7,8,1.4,3
W-123532,7.7,8,1.6,3
W-123604,7.8,8,0.5,3
W-123624,7.8,8,1.7,3
W-123738,7.8,8,0.6,3
W-123782,7.8,8,0,3
W-123796,7.8,8,1.8,3
W-123819,7.8,8,1.3,3
W-123921,7.8,8,0.7,3
W-123925,7.8,8,0.4,3
W-123946,7.8,8,1.5,3
W-123962,7.8,8,0.8,3
W-123982,7.8,8,1.9,3
W-124050,7.8,8,0.2,3
W-124058,7.8,8,1.6,3
W-124092,7.8,8,1,3
W-124111,7.8,8,1.2,3
W-124112,7.8,8,0.9,3
W-124113,7.8,8,1.1,3
W-124118,7.8,8,0.1,3
W-124137,7.8,8,1.4,3
W-124156,7.8,8,0.3,3
W-124214,7.9,8,1.1,3
W-124227,7.9,8,1.3,3
W-124229,7.9,8,1.4,3
W-124360,7.9,8,2,3
W-124361,7.9,8,0.1,3
W-124388,7.9,8,1.7,3
W-124416,7.9,8,0.3,3
W-124447,7.9,8,1.9,3
W-124449,7.9,8,1,3
W-124464,7.9,8,0.6,3
W-124484,7.9,8,1.5,3
W-124515,7.9,8,1.2,3
W-124539,7.9,8,0.5,3
W-124549,7.9,8,0.9,3
W-124563,7.9,8,0.7,3
W-124576,7.9,8,0.8,3
W-124643,7.9,8,0.2,3
W-124660,7.9,8,0.4,3
W-124790,7.9,8,1.6,3
W-124803,7.9,8,1.8,3
W-124812,8,8,0.2,3
W-124842,8,8,1.8,3
W-124870,8,8,1,3
W-124919,8,8,0,3
W-124922,8,8,1.7,3
W-124949,8,8,2,3
W-125036,8,8,0.8,3
W-125048,8,8,1.1,3
W-125115,8,8,0.7,3
W-125155,8,8,0.4,3
W-125156,8,8,1.6,3
W-125165,8,8,1.2,3
W-125187,8,8,1.9,3
W-125194,8,8,1.5,3
W-125199,8,8,1.4,3
W-125206,8,8,0.9,3
W-125207,8,8,0.3,3
