academic_id,daily_study_hours,academic_pressure_score,attendance_percentage,cgpa
A-124006,2.4,2,0.698,5.12
A-124008,2.4,2,0.672,9.59
A-124014,2.4,2,0.702,5.26
A-124019,2.4,2,0.553,4.3
A-148861,4,2,0.82,4.28
A-148872,4,2,0.845,4.14
A-148876,4,2,0.636,7.01
A-148878,4,2,0.525,4.04
A-148903,4,2,0.663,6.96
A-148909,4,2,0.942,8.31
A-148924,4,2,0.572,8.57
A-148928,4,2,0.956,8.87
A-148930,4,2,0.733,5.74
A-148931,4,2,0.833,7.31
A-148963,4,2,0.977,8.9
A-148982,4,2,0.635,6.07
A-148984,4,2,0.717,4.02
A-148988,4,2,0.753,8.01
A-148994,4,2,0.634,5.56
A-149004,4,2,0.836,5.6
A-149025,4,2,0.666,8.16
A-149031,4,2,0.815,6.84
A-149034,4,2,0.651,5.73
A-149035,4,2,0.918,7.35
A-149041,4,2,0.956,4.39
A-149055,4,2,0.893,7.89
A-149059,4,2,0.866,6.32
A-149062,4,2,0.558,8.97
A-149067,4,2,0.912,6.17
A-149070,4,2,0.821,5.59
A-149095,4,2,0.566,8.3
A-149098,4,2,0.968,5.07
A-149099,4,2,0.863,8.48
A-149108,4,2,0.907,6.28
A-149113,4,2,0.725,6.5
A-149119,4,2,0.597,8.28
A-149151,4,2,0.934,4.53
A-149157,4,2,0.836,7.11
A-149162,4,2,0.575,4.76
A-149163,4,2,0.732,9.53
A-149181,4,2,0.613,9.99
A-149193,4,2,0.823,9.52
A-149204,4,2,0.776,8.37
A-149208,4,2,0.744,9.46
A-149215,4,2,0.508,4.95
A-149221,4,2,0.733,9.08
A-149238,4,2,0.816,9.61
A-149246,4,2,0.827,4.64
A-149251,4,2,0.555,8.75
A-149258,4,2,0.817,6.66
A-149264,4,2,0.665,4.11
A-149274,4,2,0.616,6.28
A-149275,4,2,0.98,6.2
A-149295,4,2,0.855,7.96
A-149311,4,2,0.73,8.32
A-149312,4,2,0.909,9.4
A-149314,4,2,0.505,5.38
A-149315,4,2,0.834,5.32
A-149316,4,2,0.774,9.12
A-149325,4,2,0.802,8.77
A-149326,4,2,0.595,8.21
A-149333,4,2,0.883,7.16
A-149344,4,2,0.962,7.59
A-149364,4,2,0.597,8.63
A-149384,4,2,0.909,5.9
A-149386,4,2,0.513,5.18
A-149393,4,2,0.749,6.89
A-149395,4,2,0.664,5.56
A-149405,4,2,0.839,8.46
A-149407,4,2,0.971,7.91
A-149408,4,2,0.688,5.66
A-149409,4,2,0.616,8.32
A-149411,4,2,0.629,8.08
A-149413,4,2,0.966,6.99
A-149414,4,2,0.558,7.21
A-149416,4,2,0.756,7.95
A-149424,4,2,0.947,7.85
A-149428,4,2,0.694,9.93
A-149431,4,2,0.545,7.61
A-149446,4,2,0.602,7.26
A-149450,4,2,0.589,7.12
A-149453,4,2,0.829,9.21
A-149470,4,2,0.668,9.89
A-149477,4,2,0.647,4.1
A-149494,4,2,0.54,5.42
A-149498,4,2,0.646,9.27
A-149515,4,2,0.778,6.49
A-149526,4,2,0.685,8.42
A-149535,4,2,0.93,7.48
A-149545,4,2,0.53,7.24
A-149547,4,2,0.595,4.81
A-149550,4,2,0.677,6.73
A-149574,4,2,0.75,9.19
A-149578,4,2,0.505,9.03
A-149583,4,2,0.537,8.66
A-149591,4,2,0.981,6.59
A-149610,4,2,0.68,6.09
A-149642,4,2,0.65,9.7
A-149646,4,2,0.614,9.88
A-149648,4,2,0.862,6.6
A-149649,4,2,0.559,9.38
A-149662,4,2,0.647,4.3
A-149670,4,2,0.586,7.68
A-149676,4,2,0.855,6.61
A-149694,4,2,0.982,6.9
A-149696,4,2,0.747,5.79
A-149718,4,2,0.847,7.75
A-149734,4,2,0.554,7.23
A-149738,4,2,0.665,6.16
A-149741,4,2,0.823,5.34
A-149742,4,2,0.835,9.65
A-149760,4,2,0.825,6.41
A-149789,4,2,0.91,7.61
A-149797,4,2,0.738,6.63
A-149804,4,2,0.865,8.92
A-149811,4,2,0.739,8.7
A-149815,4,2,0.613,4.68
A-149817,4,2,0.992,5.42
A-149830,4,2,0.751,7.96
A-149834,4,2,0.912,8.11
A-149835,4,2,0.956,9.71
A-149853,4,2,0.558,5.98
A-149869,4,2,0.525,9.18
A-149878,4,2,0.643,9.58
A-149885,4,2,0.504,6.92
A-149892,4,2,0.543,7.89
A-149895,4,2,0.734,5.67
A-149898,4,2,0.713,4.34
A-149908,4,2,0.916,6.02
A-149918,4,2,0.65,4.39
A-149960,4,2,0.81,8.38
A-149974,4,2,0.649,6.16
A-149978,4,2,0.794,5.34
A-149979,4,2,0.965,6.42
A-149983,4,2,0.51,6.99
A-149990,4,2,0.792,9.19
A-149998,4,2,0.746,5.38
A-150011,4,2,0.748,7.67
A-150014,4,2,0.559,5.87
A-150021,4,2,0.654,7.45
A-150035,4,2,0.883,9.75
A-150038,4,2,0.972,5.42
A-150047,4,2,0.938,6.75
A-150049,4,2,0.732,6.73
A-150060,4,2,0.961,4.07
A-150068,4,2,0.644,9.59
A-150087,4,2,0.509,9.09
A-150090,4,2,0.515,4.35
A-150092,4,2,0.694,4.96
A-150105,4,2,0.632,4.18
A-150107,4,2,0.954,7.8
A-150114,4,2,0.65,5.34
A-150117,4,2,0.581,6.93
A-150119,4,2,0.505,5.84
A-150145,4,2,0.515,4.55
A-150147,4,2,0.841,7.48
A-150149,4,2,0.893,8.67
A-150179,4,2,0.953,5.02
A-150209,4,2,0.567,6.2
A-150217,4,2,0.622,6.98
A-150221,4,2,0.772,4.82
A-150245,4,2,0.607,9.71
A-150261,4,2,0.924,4.55
A-150263,4,2,0.982,7.29
A-150275,4,2,0.5,6.68
A-150277,4,2,0.722,5.02
A-150281,4,2,0.681,7.07
A-150286,4,2,0.904,5.67
A-150287,4,2,0.618,8.27
A-150293,4,2,0.546,8.8
A-150301,4,2,0.911,5.01
A-150303,4,2,0.525,8.63
A-150312,4,2,0.57,8.86
A-150340,4,2,0.58,5.29
A-150341,4,2,0.604,5.01
A-150342,4,2,0.971,4.32
A-150353,4,2,0.667,4.65
A-150391,4,2,0.903,9.66
A-150393,4,2,0.918,4.18
A-150427,4,2,0.96,5.72
A-150428,4,2,0.885,9.92
A-150440,4,2,0.989,6.81
A-150451,4,2,0.771,9.59
A-150456,4,2,0.593,5.51
A-150457,4,2,0.594,4.56
A-150458,4,2,0.715,5.61
A-150482,4,2,0.546,4.18
A-150499,4,2,0.801,9.25
A-150505,4,2,0.526,7.44
A-150512,4,2,0.951,6.31
A-150514,4,2,0.799,5.6
A-150523,4,2,0.614,8.23
A-150565,4,2,0.792,5.29
A-150575,4,2,0.611,4.04
A-150578,4,2,0.527,8.52
A-150581,4,2,0.55,8.56
A-172271,5.4,2,0.83,9.78
A-172277,5.4,2,0.552,5.42
A-172285,5.4,2,0.894,4.7
A-172300,5.4,2,0.912,9.64
A-172303,5.4,2,0.8,9.17
A-172313,5.4,2,0.605,9.04
A-172316,5.4,2,0.612,5.11
A-172323,5.4,2,0.973,8.75
A-172351,5.4,2,0.658,6.58
A-172368,5.4,2,0.796,5.08
A-172373,5.4,2,0.792,9.38
A-172374,5.4,2,0.896,6.19
A-172376,5.4,2,0.72,8.4
A-172383,5.4,2,0.775,4.71
A-172385,5.4,2,0.599,7.78
A-172404,5.4,2,0.942,9.37
A-172406,5.4,2,0.978,9.15
A-172408,5.4,2,0.895,5.53
A-172449,5.4,2,0.836,4.02
A-172459,5.4,2,0.537,4.61
A-172476,5.4,2,0.954,9.94
A-172478,5.4,2,0.518,6.69
A-172493,5.4,2,0.892,5.75
A-172495,5.4,2,0.818,6.49
A-172524,5.4,2,0.557,7.76
A-172525,5.4,2,0.749,5.2
A-172530,5.4,2,0.654,9.28
A-172531,5.4,2,0.819,6.14
A-172532,5.4,2,0.701,6.64
A-172533,5.4,2,0.807,8.95
A-172544,5.4,2,0.775,5.38
A-172578,5.4,2,0.991,5.11
A-172586,5.4,2,0.857,5.65
A-172593,5.4,2,0.585,9.89
A-172599,5.4,2,0.696,9.64
A-172607,5.4,2,0.653,6.6
A-172612,5.4,2,0.648,6.4
A-172619,5.4,2,0.608,9.94
A-172622,5.4,2,0.902,7.06
A-172631,5.4,2,0.703,4.14
A-172633,5.4,2,0.896,6.48
A-172643,5.4,2,0.997,9.31
A-172658,5.4,2,0.689,8.46
A-172680,5.4,2,0.76,4.7
A-172681,5.4,2,0.587,7.19
A-172700,5.4,2,0.871,5.65
A-172711,5.4,2,0.888,6.51
A-172714,5.4,2,0.617,7.61
A-172719,5.4,2,0.979,6.68
A-172733,5.4,2,0.905,5.91
A-172734,5.4,2,0.892,5.14
A-172750,5.4,2,0.81,4.4
A-172767,5.4,2,0.638,7.23
A-172775,5.4,2,0.979,8.93
A-172777,5.4,2,0.697,5
A-172785,5.4,2,0.784,9.61
A-172789,5.4,2,0.851,7.2
A-172793,5.4,2,0.653,7.75
A-172803,5.4,2,0.922,5.01
A-172817,5.4,2,0.647,4.97
A-172820,5.4,2,0.636,8.26
A-172843,5.4,2,0.95,8.12
A-172847,5.4,2,0.995,7.71
A-172855,5.4,2,0.638,5.15
A-172858,5.4,2,0.883,5.03
A-172860,5.4,2,0.694,5.94
A-172867,5.4,2,0.868,7.58
A-172884,5.4,2,0.963,9.2
A-172889,5.4,2,0.686,9.27
A-172897,5.4,2,0.726,7.04
A-172898,5.4,2,0.754,7.8
A-172905,5.4,2,0.58,7.98
A-172929,5.4,2,0.629,5.14
A-172946,5.4,2,0.556,7.19
A-172952,5.4,2,0.884,7.34
A-172964,5.4,2,0.612,5.7
A-172982,5.4,2,0.695,4.84
A-172997,5.4,2,0.723,4.32
A-173000,5.4,2,0.638,4.95
A-173001,5.4,2,0.776,5.08
A-173021,5.4,2,0.635,8.44
A-173040,5.4,2,0.942,9.23
A-173043,5.4,2,0.501,4.95
A-173050,5.4,2,0.847,8.56
A-173053,5.4,2,0.891,4.54
A-173072,5.4,2,0.824,6
A-173074,5.4,2,0.945,7.77
A-173075,5.4,2,0.914,7.59
A-173077,5.4,2,0.621,5.12
A-173106,5.4,2,0.819,9.08
A-173107,5.4,2,0.799,5.36
A-173112,5.4,2,0.87,7.3
A-173118,5.4,2,0.957,5.3
A-173121,5.4,2,0.787,7.91
A-173125,5.4,2,0.859,7.92
A-173142,5.4,2,0.687,4.79
A-173163,5.4,2,0.586,5.2
A-173167,5.4,2,0.548,7.87
A-173175,5.4,2,0.699,5.45
A-173182,5.4,2,0.763,6.58
A-173189,5.4,2,0.605,8.34
A-173200,5.4,2,0.749,4.1
A-173208,5.4,2,0.537,5.93
A-173214,5.4,2,0.9,7.57
A-173216,5.4,2,0.876,4.32
A-173219,5.4,2,0.876,8.65
A-173224,5.4,2,0.532,9.1
A-173233,5.4,2,0.874,7.03
A-173244,5.4,2,0.899,9.78
A-173251,5.4,2,0.564,7.27
A-173253,5.4,2,0.942,4.54
A-173254,5.4,2,0.97,9.43
A-173277,5.4,2,0.626,8.94
A-173279,5.4,2,0.899,8.76
A-173309,5.4,2,0.554,6.73
A-173313,5.4,2,0.664,7.09
A-173320,5.4,2,0.961,8.08
A-173321,5.4,2,0.523,9.93
A-173322,5.4,2,0.901,5.45
A-173327,5.4,2,0.856,6.5
A-173336,5.4,2,0.643,7.33
A-173339,5.4,2,0.843,7.96
A-173340,5.4,2,0.591,9.8
A-173342,5.4,2,0.672,8.95
A-173345,5.4,2,0.515,8.7
A-173349,5.4,2,0.547,8.76
A-173350,5.4,2,0.991,6.91
A-173364,5.4,2,0.594,4.39
A-173382,5.4,2,0.826,5.21
A-173395,5.4,2,0.891,7.54
A-173409,5.4,2,0.595,7.61
A-173415,5.4,2,0.572,9.76
A-173421,5.4,2,0.863,6.75
A-173429,5.4,2,0.95,6.62
A-173431,5.4,2,0.916,8.12
A-173437,5.4,2,0.605,6.28
A-173439,5.4,2,0.72,4.65
A-173440,5.4,2,0.9,8.1
A-173441,5.4,2,0.918,9.7
A-173450,5.4,2,0.814,5.33
A-173489,5.4,2,0.542,9.42
A-173491,5.4,2,0.503,9.04
A-173498,5.4,2,0.552,4.24
A-173532,5.4,2,0.674,4.51
A-173543,5.4,2,0.964,9.19
A-173547,5.4,2,0.784,5.74
A-173551,5.4,2,0.528,4.49
A-173564,5.4,2,0.878,9.97
A-173569,5.4,2,0.75,4.87
A-173597,5.4,2,0.663,7.67
A-173599,5.4,2,0.995,8.78
A-173610,5.4,2,0.857,5.89
A-173621,5.4,2,0.999,8.56
A-173628,5.4,2,0.576,9.05
A-173659,5.4,2,0.798,4.71
A-173661,5.4,2,0.785,6.05
A-173663,5.4,2,0.942,7.15
A-173671,5.4,2,0.642,5.24
A-173686,5.4,2,0.829,8.27
A-173689,5.4,2,0.754,7.5
A-173701,5.4,2,0.646,8.31
A-173722,5.4,2,0.537,6.09
A-173728,5.4,2,0.882,6.98
A-173734,5.4,2,0.84,4.38
A-173740,5.4,2,0.899,9.99
A-173751,5.4,2,0.544,6.98
A-173760,5.4,2,0.603,6.91
A-173764,5.4,2,0.84,6.36
A-173773,5.4,2,0.754,8.03
A-173785,5.4,2,0.711,6.59
A-173787,5.4,2,0.751,4.66
A-173795,5.4,2,0.595,7.36
A-173826,5.4,2,0.906,8.36
A-173827,5.4,2,0.507,4.81
A-173832,5.4,2,0.676,5.29
A-173833,5.4,2,0.851,6.52
A-173851,5.4,2,0.84,4.36
A-173856,5.4,2,0.819,4.69
A-173871,5.4,2,0.668,8.5
A-173886,5.4,2,0.962,5.53
A-173892,5.4,2,0.805,6.82
A-173906,5.4,2,0.519,9.27
A-173907,5.4,2,0.719,7.52
A-173914,5.4,2,0.879,7.01
A-173916,5.4,2,0.635,7.02
A-173936,5.4,2,0.999,6.7
A-173945,5.4,2,0.957,9.7
A-173946,5.4,2,0.771,7.99
A-173955,5.4,2,0.509,8.85
A-210808,7.7,2,0.58,8.24
A-210821,7.7,2,0.688,7.03
A-210823,7.7,2,0.554,8.44
A-210825,7.7,2,0.858,5.08
A-210850,7.7,2,0.902,4.32
A-210856,7.7,2,0.905,5.38
A-210862,7.7,2,0.723,4.63
A-210875,7.7,2,0.711,5.19
A-210887,7.7,2,0.989,6.97
A-210888,7.7,2,0.786,8.98
A-210901,7.7,2,0.872,5.54
A-210903,7.7,2,0.684,5.16
A-210905,7.7,2,0.647,7.5
A-210929,7.7,2,0.897,6.54
A-210930,7.7,2,0.622,6.67
A-210932,7.7,2,0.799,4.52
A-210939,7.7,2,0.627,7.27
A-210948,7.7,2,0.719,8.43
A-211004,7.7,2,0.622,7.44
A-211006,7.7,2,0.678,8.58
A-211015,7.7,2,0.73,9.46
A-211017,7.7,2,0.781,8.46
A-211020,7.7,2,0.977,4.09
A-211021,7.7,2,0.752,8.82
A-211025,7.7,2,0.797,7.73
A-211033,7.7,2,0.989,4.46
A-211039,7.7,2,0.882,6.31
A-211040,7.7,2,0.597,6.3
A-211041,7.7,2,0.822,7.94
A-211056,7.7,2,0.938,8.65
A-211082,7.7,2,0.664,7.3
A-211091,7.7,2,0.699,6.35
A-211092,7.7,2,0.704,6.77
A-211103,7.7,2,0.501,6.27
A-211107,7.7,2,0.946,7.9
A-211110,7.7,2,0.544,5.2
A-211123,7.7,2,0.632,5.55
A-211129,7.7,2,0.514,5.59
A-211139,7.7,2,0.82,7.6
A-211162,7.7,2,0.518,6.88
A-211173,7.7,2,0.979,6.49
A-211181,7.7,2,0.708,6.42
A-211192,7.7,2,0.597,8.68
A-211202,7.7,2,0.979,5.61
A-211222,7.7,2,0.576,4.18
A-211223,7.7,2,0.694,6.55
A-211226,7.7,2,0.569,9.05
A-211253,7.7,2,0.619,5.36
A-211256,7.7,2,0.8,4.49
A-211264,7.7,2,0.957,9.26
A-211277,7.7,2,0.96,9.21
A-211297,7.7,2,0.944,6.12
A-211300,7.7,2,0.893,5.75
A-211311,7.7,2,0.945,9.93
A-211317,7.7,2,0.903,9.14
A-211323,7.7,2,0.89,4.68
A-211330,7.7,2,0.779,9.68
A-211331,7.7,2,0.855,8.52
A-211341,7.7,2,0.592,4.32
A-211346,7.7,2,0.723,9.06
A-211358,7.7,2,0.796,9.9
A-211398,7.7,2,0.817,6.95
A-211403,7.7,2,0.715,9.62
A-211420,7.7,2,0.751,9.88
A-211421,7.7,2,0.961,4.47
A-211428,7.7,2,0.817,6.82
A-211430,7.7,2,0.725,8.05
A-211439,7.7,2,0.697,4.07
A-211449,7.7,2,0.577,4.15
A-211455,7.7,2,0.905,6.48
A-211468,7.7,2,0.605,6.47
A-211470,7.7,2,0.623,6.45
A-211472,7.7,2,0.738,6.15
A-211476,7.7,2,0.522,4.28
A-211480,7.7,2,0.814,7.93
A-211492,7.7,2,0.747,9.53
A-211497,7.7,2,0.658,6.66
A-211500,7.7,2,0.702,8.78
A-211506,7.7,2,0.926,9.36
A-211520,7.7,2,0.885,6.94
A-211552,7.7,2,0.597,8.84
A-211560,7.7,2,0.513,8.48
A-211561,7.7,2,0.844,9.94
A-211566,7.7,2,0.828,4.63
A-211570,7.7,2,0.505,6.28
A-211594,7.7,2,0.719,6.89
A-211616,7.7,2,0.59,4.46
A-211625,7.7,2,0.572,5.87
A-211630,7.7,2,0.91,9.98
A-211649,7.7,2,0.811,4.81
A-211652,7.7,2,0.904,5.65
A-211693,7.7,2,0.748,8.31
A-211695,7.7,2,0.94,6.96
A-211697,7.7,2,0.892,5.44
A-211701,7.7,2,0.703,6.6
A-211704,7.7,2,0.853,6.64
A-211710,7.7,2,0.967,6.95
A-211713,7.7,2,0.994,5.29
A-211737,7.7,2,0.607,5.21
A-211751,7.7,2,0.997,9.67
A-211755,7.7,2,0.702,6.45
A-211763,7.7,2,0.745,5.79
A-211769,7.7,2,0.623,6.15
A-211772,7.7,2,0.589,8.71
A-211773,7.7,2,0.916,6.09
A-211774,7.7,2,0.753,8.43
A-211776,7.7,2,0.918,5.11
A-211780,7.7,2,0.939,4.33
A-211804,7.7,2,0.845,6.16
A-211819,7.7,2,0.961,7.11
A-211828,7.7,2,0.748,9.58
A-211829,7.7,2,0.862,6.58
A-211834,7.7,2,0.788,4.88
A-211859,7.7,2,0.886,4.6
A-211898,7.7,2,0.604,5.36
A-211903,7.7,2,0.817,5.03
A-211910,7.7,2,0.769,9.14
A-211915,7.7,2,0.545,7.79
A-211917,7.7,2,0.887,8.66
A-211924,7.7,2,0.503,7.41
A-211929,7.7,2,0.658,8.25
A-211976,7.7,2,0.799,8.43
A-211987,7.7,2,0.577,6.65
A-211994,7.7,2,0.775,5.68
A-212004,7.7,2,0.762,9.62
A-212015,7.7,2,0.942,4.29
A-212016,7.7,2,0.633,5.55
A-212028,7.7,2,0.562,7.04
A-212036,7.7,2,0.543,5.2
A-212044,7.7,2,0.889,6.41
A-212051,7.7,2,0.548,7.89
A-212055,7.7,2,0.553,5.31
A-212075,7.7,2,0.703,7.99
A-212088,7.7,2,0.796,4.1
A-212103,7.7,2,0.716,9.65
A-212113,7.7,2,0.528,9.05
A-212142,7.7,2,0.713,6.53
A-212149,7.7,2,0.696,9.32
A-212153,7.7,2,0.922,5.31
A-212155,7.7,2,0.538,8.4
A-212166,7.7,2,0.901,8.85
A-212171,7.7,2,0.644,4.04
A-212174,7.7,2,0.836,5.66
A-212176,7.7,2,0.948,4.24
A-212184,7.7,2,0.602,7.34
A-212187,7.7,2,0.51,4.4
A-212191,7.7,2,0.928,7.69
A-212198,7.7,2,0.605,8.21
A-212203,7.7,2,0.86,9.56
A-212205,7.7,2,0.882,5.88
A-212206,7.7,2,0.889,4.41
A-212214,7.7,2,0.81,9.44
A-212220,7.7,2,0.716,6.44
A-212232,7.7,2,0.59,8.11
A-212233,7.7,2,0.671,4.52
A-212235,7.7,2,0.716,8.32
A-212237,7.7,2,0.618,8.3
A-212242,7.7,2,0.919,4.34
A-212244,7.7,2,0.913,5.63
A-212255,7.7,2,0.842,6.62
A-212256,7.7,2,0.56,7.64
A-212259,7.7,2,0.892,7.38
A-212263,7.7,2,0.624,4.15
A-212274,7.7,2,0.97,4.34
A-212277,7.7,2,0.604,7.05
A-212279,7.7,2,0.528,8.78
A-212289,7.7,2,0.67,5.33
A-212305,7.7,2,0.748,4.63
A-212309,7.7,2,0.513,8.07
A-212319,7.7,2,0.85,7.92
A-212338,7.7,2,0.858,7.59
A-212347,7.7,2,0.764,9.75
A-212350,7.7,2,0.775,5.57
A-212365,7.7,2,0.934,8.65
A-212370,7.7,2,0.998,4.77
A-212372,7.7,2,0.857,5.51
A-212373,7.7,2,0.7,5.34
A-212378,7.7,2,0.802,7.79
